1;Dr. Kopasz Tibor;1.jpg;Országos Főigazgató;foigazgato@luxmed.hu;+36 20 376 7664;2
2;Dr. Szabó Tamás;2.jpg;Kórházigazgató;szabo.tamas@luxmed.hu;+36 20 456 7890;1
3;Dr. Varga Péter;3.jpg;Kórházigazgató;varga.peter@luxmed.hu;+36 30 876 5435;2
4;Dr. Kiss Anikó;4.jpg;Kórházigazgató;kiss.aniko@luxmed.hu;+36 70 234 5678;3
5;Dr. Kovács Éva;5.jpg;Kórházigazgató;kovacs.eva@luxmed.hu;+36 30 987 6543;4
6;Dr. Farkas Dóra;6.jpg;Kórházigazgató;farkas.dora@luxmed.hu;+36 20 654 3210;5
7;Dr. Horváth Katalin;7.jpg;Kórházigazgató;horvath.katalin@luxmed.hu;+36 30 543 2109;6
8;Dr. Nagy László;8.jpg;Kórházigazgató;nagy.laszlo@luxmed.hu;+36 20 789 0123;7
9;Dr. Tóth Gábor;9.jpg;Kórházigazgató;toth.gabor@luxmed.hu;+36 70 123 4567;8
10;Dr. Kiss Péter;10.jpg;Belgyógyászat;kiss.peter@luxmed.hu;+36 20 789 1234;1
11;Dr. Németh Anna;11.jpg;Bőrgyógyászat;nemeth.anna@luxmed.hu;+36 30 456 7890;1
12;Dr. Szalai Júlia;12.jpg;Dietetika;szalai.julia@luxmed.hu;+36 70 654 3210;1
13;Dr. Balogh Tamás;13.jpg;Endokrinológia;balogh.tamas@luxmed.hu;+36 20 876 5432;1
14;Dr. Horváth András;14.jpg;Érsebészet;horvath.andras@luxmed.hu;+36 30 345 6789;1
15;Dr. Varga László;15.jpg;Érsebészet;varga.laszlo@luxmed.hu;+36 20 543 2109;1
16;Dr. Szabad Judit;16.jpg;Fül-Orr-Gégészet;szabad.judit@luxmed.hu;+36 70 876 5432;1
17;Dr. Szabados Ákos;17.jpg;Gasztroenterológia;szabados.akos@luxmed.hu;+36 20 789 0123;1
18;Dr. Tóth Zsófia;18.jpg;Gyermeksebészet;toth.zsofia@luxmed.hu;+36 30 345 6781;1
19;Dr. Nagy Attila;19.jpg;Hematológia;nagy.attila@luxmed.hu;+36 70 456 7892;1
20;Dr. Kovács László;20.jpg;Idegsebészet;kovacs.laszlo@luxmed.hu;+36 20 567 8901;1
21;Dr. Fekete Zoltán;21.jpg;Kardiológia;fekete.zoltan@luxmed.hu;+36 30 678 1234;1
22;Dr. Hegedűs Klára;22.jpg;Kardiológia;hegedus.klara@luxmed.hu;+36 70 543 2108;1
23;Dr. Szilágyi Tamás;23.jpg;Kézsebészet;szilagyi.tamas@luxmed.hu;+36 20 345 6789;1
24;Dr. Bíró Katalin;24.jpg;Neurológia;biro.katalin@luxmed.hu;+36 30 654 3212;1
25;Dr. Sárközi Ferenc;25.jpg;Neurológia;sarkozi.ferenc@luxmed.hu;+36 70 567 8901;1
26;Dr. Horváth Bence;26.jpg;Nőgyógyászat;horvath.bence@luxmed.hu;+36 20 789 3456;1
27;Dr. Lőrincz Dóra;27.jpg;Nőgyógyászat;lorincz.dora@luxmed.hu;+36 30 456 7891;1
